City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,85.28,75,4,5.99,US,1630188013
1,ushuaia,-54.8,-68.3,42.46,70,40,10.36,AR,1630187893
2,alofi,-19.0595,-169.9187,73.47,57,86,17.07,NU,1630188014
3,middlebury,44.0153,-73.1673,68.76,71,90,4.61,US,1630188014
4,saint paul,44.9444,-93.0933,86.29,67,75,4.61,US,1630188015
5,lebu,-37.6167,-73.65,53.08,96,100,12.01,CL,1630188015
6,viedma,-40.8135,-62.9967,53.74,40,100,3.56,AR,1630188016
7,albany,42.6001,-73.9662,73.81,66,68,8.86,US,1630187873
8,vavatenina,-17.4667,49.2,63.77,99,29,3.06,MG,1630188016
9,florianopolis,-27.6146,-48.5012,63.63,59,75,5.75,BR,1630187933
10,christchurch,-43.5333,172.6333,49.91,92,90,4.61,NZ,1630187973
11,qaanaaq,77.484,-69.3632,36.07,98,100,5.41,GL,1630188017
12,burevestnik,56.144,43.7883,44.35,93,0,0.0,RU,1630188018
13,punta arenas,-53.15,-70.9167,41.11,81,75,16.11,CL,1630187983
14,hobyo,5.3505,48.5268,76.78,84,34,28.45,SO,1630188018
15,tuktoyaktuk,69.4541,-133.0374,49.23,76,78,2.82,CA,1630188019
16,roald,62.5833,6.1333,56.16,76,1,1.63,NO,1630188020
17,busselton,-33.65,115.3333,54.09,84,48,13.0,AU,1630188021
18,clyde river,70.4692,-68.5914,38.03,78,99,3.58,CA,1630188021
19,nkhotakota,-12.9274,34.2961,71.58,48,0,4.12,MW,1630188022
20,thompson,55.7435,-97.8558,69.73,46,100,5.88,CA,1630188014
21,conakry,9.538,-13.6773,78.46,85,100,6.4,GN,1630188024
22,bolzano,46.4927,11.3336,60.26,80,92,4.59,IT,1630188025
23,hobart,-42.8794,147.3294,46.11,93,75,3.0,AU,1630188026
24,vila do maio,15.1333,-23.2167,78.28,73,67,1.63,CV,1630188026
25,poum,-20.2333,164.0167,72.7,77,1,5.95,NC,1630188027
26,walvis bay,-22.9575,14.5053,63.32,21,0,7.54,NA,1630188028
27,hermanus,-34.4187,19.2345,45.9,68,67,5.28,ZA,1630188029
28,qeshm,26.9581,56.2719,87.67,75,34,3.36,IR,1630188030
29,qui nhon,13.7667,109.2333,77.23,89,100,5.66,VN,1630188010
30,severo-kurilsk,50.6789,156.125,54.46,96,100,6.8,RU,1630188030
31,geraldton,-28.7667,114.6,46.81,93,98,8.05,AU,1630188031
32,aleksandrov gay,50.147,48.5704,65.21,37,4,9.89,RU,1630188032
33,lata,40.1629,-8.3327,65.91,95,38,2.04,PT,1630188034
34,vaini,-21.2,-175.2,69.06,66,100,13.96,TO,1630188034
35,san patricio,28.017,-97.5169,93.29,51,81,13.24,US,1630188035
36,port macquarie,-31.4333,152.9167,53.33,53,0,4.59,AU,1630188036
